depth_dome,age_dome,deuterium_dome,temp_dome,depth_vos,age_vos,deiterium_vos,deltaTS,age_composite,CO2_composite
143,3945.05,-398.5,0.72,235,10045.5,-436.9,-0.74,12543.72,249.92
143.55,3964.41,-396.5,-0.12,236,10097.9,-434.5,-0.36,12564.62,244.27
144.1,3983.96,-397.8,-0.52,237,10148.3,-434.5,-0.37,12586.6,247.02
144.65,4003.51,-392.9,-0.19,238,10198.8,-436.1,-0.65,12607.64,248.09
145.2,4023.05,-398.7,-0.41,239,10249.7,-433.8,-0.28,12629.85,246.94
145.75,4041.94,-398.9,0.4,240,10300.5,-434.9,-0.47,12653.64,243.95
146.3,4060.83,-390.6,-0.56,241,10351.6,-435.5,-0.58,12673.9,242.53
146.85,4079.72,-390.4,-0.59,242,10402.6,-430,0.31,12697.14,244.24
147.4,4098.75,-402.3,0.78,243,10449.8,-428.7,0.52,12719.8,241.59
147.95,4117.78,-389.9,0.81,244,10497.1,-432.8,-0.18,12739.91,247.3
148.5,4136.81,-390.3,-1.16,245,10548.9,-439.5,-1.3,12762.58,240.02
149.05,4156.11,-398.8,0.89,246,10600.8,-437.4,-0.97,12785.63,241.5
149.6,4175.4,-397.8,0.82,247,10652.4,-434.1,-0.43,12809.27,242.23
150.15,4194.7,-394.9,-0.59,248,10704.1,-436,-0.76,12830.15,242.15
150.7,4213.88,-392.2,-0.42,249,10756,-436,-0.77,12852.71,239.35
151.25,4233.06,-404.7,0.06,250,10808,-436,-0.79,12873.98,241.24
151.8,4252.23,-391.2,0.5,251,10860.2,-436.6,-0.9,12893.38,239.44
152.35,4270.93,-387.3,-1.57,252,10912.4,-436.9,-0.96,12917.11,238.79
152.9,4289.63,-396.4,0.67,253,10964.6,-435.2,-0.7,12939.23,238.18
153.45,4308.32,-387,1.31,254,11016.7,-432.5,-0.26,12959.75,240.71
154,4327.69,-398.1,-0.2,255,11066.8,-433.5,-0.44,12980.88,237.15
154.55,4347.06,-401.4,1.36,256,11116.9,-434.5,-0.62,13001.06,239.42
155.1,4366.42,-395.2,-0.48,257,11167.2,-431.6,-0.15,13021.92,234.68
155.65,4386,-393.4,-1.03,258,11217.4,-431.3,-0.12,13043.69,238.86
156.2,4405.57,-394.9,0,259,11266.7,-431.9,-0.23,13066.59,237.91
156.75,4425.14,-397.1,0.29,260,11316,-430.3,0.02,13088.22,241.56
157.3,4444.62,-400.6,0.04,261,11364.4,-429.8,0.09,13128.45,234.82
157.85,4464.09,-393,-0.32,262,11412.8,-425.8,0.74,13172.67,236.91
158.4,4483.57,-387.1,-0.9,263,11458.4,-425.3,0.81,13216.2,239.41
158.95,4502.2,-397.5,0.35,264,11504,-431.2,-0.18,13266.97,240.42
159.5,4520.82,-390.4,1.33,265,11553.9,-433,-0.48,13304.15,236.86
160.05,4539.45,-399.3,-0.39,266,11603.8,-431.7,-0.27,13418.1,237.83
160.6,4559.53,-397.5,0.78,267,11654.4,-434.5,-0.73,13486.74,240.25
161.15,4579.62,-399.9,-0.7,268,11705,-437.4,-1.22,13531.75,235.83
161.7,4599.7,-395,-0.4,269,11758.9,-437.8,-1.29,13600.81,243.86
162.25,4619.33,-394.1,-0.8,270,11812.8,-439.5,-1.57,13645.35,238.55
162.8,4638.97,-393.4,0.01,271,11868.2,-439.6,-1.59,13712.83,241.59
163.35,4658.6,-398.4,0.16,272,11923.6,-439.7,-1.61,13758.73,241.11
163.9,4678.18,-395.1,0.27,273,11979.7,-441,-1.83,13827.2,239.08
164.45,4697.76,-396,-0.56,274,12035.8,-443.2,-2.2,13871.57,237.95
165,4717.34,-397.3,-0.01,275,12094.6,-444.2,-2.37,13940.23,240.57
165.55,4737.08,-389.3,-0.16,276,12153.5,-447.1,-2.85,14001.79,235.92
166.1,4756.82,-399.6,-0.38,277,12214.5,-445.3,-2.55,14022.86,237.87
166.65,4776.56,-402.3,0.94,278,12275.5,-443.1,-2.19,14060.09,241.27
167.2,4796.94,-396.7,-0.76,279,12335.7,-447,-2.84,14084.47,232.88
167.75,4817.31,-397.2,-1.21,280,12395.8,-448.5,-3.09,14120.06,236.4
