"","Eucalyptus.sp.","A.laxifolia","A.cupressoides","D.archeri","M.tetragona","P.hookeriana","N.cunninghamii","E.serpyllifolia","R.scoparia","B.rubioides","M.dealbata","L.juniperina","O.acicularis","O.revoluta","R.sprengeloides","C.nitida","S.incarnata","T.cunninghamii","Cyathodes","L.lanigerum","L.rupestre","Andreaea.sp.","B.mossmaniana","B.pendula.affinis","B.rutabulum.paradoxum","Bryaceae","D.microcarpum","Dicranoloma.sp.","Dicranaceae","D.cylindricarpum.difficile","Fissidens.sp.","Entosthodon.sp.","Grimmiaceae","H.chrysogaster.cupressiforme","H.comosum","H.didictyon","Lembophyllaceae","Weymouthia.sp.","L.inclinans","Campylopus.sp.","T.pumilum","L.gaudichaudii","Orthotrichaceae","P.acicularis","H.alaris","R.purpurascens","R.novaehollandiae","Pyrrhobryum.sp.","B.robusta","Sphagnum.sp.","T.furfurosa","Leptoscyphus.sp."
"67",0,0,0,0.62962962962963,0,0.037037037037037,0.037037037037037,0.259259259259259,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",0,0,0.137931034482759,0.310344827586207,0,0,0,0.137931034482759,0,0,0,0,0.206896551724138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137931034482759,0,0,0.0689655172413793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0,0.5,0,0,0.227272727272727,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0,0.0454545454545455,0,0.0454545454545455,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0
"70",0,0,0.193548387096774,0.290322580645161,0.032258064516129,0.032258064516129,0,0.290322580645161,0,0,0,0,0.032258064516129,0,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0.0645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0,0,0,0,0,0,0,0
"71",0,0,0.082089552238806,0.559701492537313,0.0298507462686567,0.0485074626865672,0,0.0858208955223881,0.00373134328358209,0,0.00373134328358209,0,0.0783582089552239,0.00746268656716418,0.00746268656716418,0,0.00373134328358209,0,0,0.00373134328358209,0,0.00373134328358209,0.00373134328358209,0.00373134328358209,0,0.0223880597014925,0,0.0111940298507463,0.00373134328358209,0,0.0111940298507463,0,0.00746268656716418,0.00746268656716418,0,0,0,0,0,0,0,0.0111940298507463,0,0,0,0,0,0,0,0,0,0
"72",0,0,0.0833333333333333,0,0.672619047619048,0,0,0.101190476190476,0.0178571428571429,0,0,0.00595238095238095,0.0654761904761905,0,0,0,0,0,0,0,0,0,0,0.0238095238095238,0,0.0119047619047619,0,0,0,0,0,0,0,0.0178571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0.613636363636364,0,0,0.227272727272727,0,0,0,0,0.0454545454545455,0,0,0.0113636363636364,0,0,0,0,0,0.0113636363636364,0,0,0,0,0,0.0454545454545455,0,0,0.0113636363636364,0,0,0,0,0,0,0,0,0.0113636363636364,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0
"74",0,0,0,0.173913043478261,0,0,0,0.434782608695652,0,0,0,0,0.173913043478261,0,0,0.0869565217391304,0,0,0,0,0,0,0,0.0434782608695652,0,0,0,0,0,0,0.0434782608695652,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",0,0,0,0.0476190476190476,0.476190476190476,0,0,0.238095238095238,0,0.0476190476190476,0,0,0.0952380952380952,0,0,0.0952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",0,0,0,0.228571428571429,0.0285714285714286,0,0,0.171428571428571,0,0,0,0.0285714285714286,0.0571428571428571,0.0285714285714286,0,0,0,0,0,0,0,0.0285714285714286,0,0,0,0.0285714285714286,0,0.171428571428571,0,0.142857142857143,0,0,0,0.0285714285714286,0,0,0,0,0,0,0,0,0,0.0285714285714286,0,0,0,0,0,0,0.0285714285714286,0
"77",0,0,0.0666666666666667,0.453333333333333,0,0.286666666666667,0,0.0666666666666667,0,0,0.0133333333333333,0,0.0333333333333333,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0.0266666666666667,0,0.00666666666666667,0,0,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",0,0,0,0.739495798319328,0.00420168067226891,0,0,0.0294117647058824,0.0210084033613445,0,0.00840336134453781,0.00420168067226891,0.0168067226890756,0,0.00420168067226891,0,0.00420168067226891,0,0,0,0,0.0252100840336134,0,0.00840336134453781,0,0.0630252100840336,0,0.00420168067226891,0,0.00840336134453781,0.0210084033613445,0.00840336134453781,0.0126050420168067,0.0168067226890756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",0,0,0.041958041958042,0.181818181818182,0.335664335664336,0,0.00699300699300699,0.0629370629370629,0.0559440559440559,0,0.00699300699300699,0,0.013986013986014,0.013986013986014,0,0,0,0,0.020979020979021,0,0,0.0629370629370629,0,0.013986013986014,0.0699300699300699,0.034965034965035,0,0,0.013986013986014,0.00699300699300699,0.013986013986014,0,0.013986013986014,0.027972027972028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",0,0,0.027027027027027,0.837837837837838,0,0,0,0.0810810810810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540540540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
